series,meanmape,mapegt10,std
strs,5.320499358749851,0.1111111111111111,5.211980961768119
strt,6.427813245820166,0.1282051282051282,5.75948363168901
stt,2.9413766405898936,0.03418803418803419,2.769508617590903
stt_c,0.9903772551495028,0.0,0.7615641975104392
stt_d,1.59259617862144,0.0,1.447115163709344
stt_e,1.2454183755798889,0.0,0.8834554300786409
stwd,1.7515093890178388,0.0,1.444258075678834
stx,5.848772780814053,0.18803418803418803,5.037173924240527
stz-b,2.887547271553094,0.017094017094017096,2.0476501445664206
stz,2.006553491098058,0.0,1.4248767959057038
su,3.073864987841759,0.0,1.823278600177518
sui,2.2445980702552384,0.0,1.3268763414431195
sui_a,0.6539063160946579,0.0,0.34366456170754456
sumr,6.846755227931216,0.20512820512820512,4.687951659004227
sun,4.416203347807203,0.1111111111111111,4.008833422614053
suns,1.5041070255498743,0.0,1.076248091362928
sunw,7.096602730654023,0.19658119658119658,4.409328230066546
sup,4.561659508454063,0.06837606837606838,3.4799768303759406
supn,7.437666154660877,0.23931623931623933,7.159393593598653
susa,1.0015244681847024,0.0,0.9472507792857584
sva,2.338497997046009,0.03418803418803419,3.070220405532688
svbi,2.092044015797756,0.0,1.4162431822110093
svra,13.417811054768443,0.5726495726495726,10.246490356879635
svt,4.575482155990347,0.10256410256410256,3.657227809019646
svu,7.263034387222788,0.26495726495726496,4.383390755441799
svvc,2.6553257366878666,0.02564102564102564,2.7185716941917506
swir,5.485956481789218,0.1452991452991453,4.998534806822132
swj,0.7088040026987282,0.0,0.45111675754683644
swk,1.96523770994716,0.008547008547008548,1.8768036357698803
swks,4.595153167835133,0.1111111111111111,3.981300815362506
swm,3.122752218014765,0.03418803418803419,2.601440911108173
swn,9.35455389112994,0.2905982905982906,7.968992496918602
swx,2.4314040163008137,0.008547008547008548,1.9139365590394528
swz,1.2397426465582733,0.0,0.8249015730153458
sxc,9.339334371564076,0.3333333333333333,6.535090037281092
sxcp,5.780814294698554,0.1623931623931624,4.727255378029639
sxe,11.627641727716684,0.3504273504273504,13.167147318853146
sxi,4.446573776157843,0.10256410256410256,3.806259287382862
sxt,2.0477942309169648,0.008547008547008548,1.5827393702670176
sybt,3.7184821121347604,0.05982905982905983,3.1223233273570687
syf,3.600158142110958,0.05128205128205128,3.010081068000691
syk,2.039848947760838,0.0,1.4042271412149423
syke,3.7304243544421953,0.05982905982905983,3.444982348937525
symc,3.203829095368114,0.02564102564102564,2.976065960833166
symx,10.800568712626927,0.48717948717948717,8.016137192193783
syn,12.198993545644234,0.3504273504273504,17.17498286257329
syna,5.594125172689337,0.1282051282051282,5.24744713391375
sync,5.3080077129359395,0.09401709401709402,5.003285608037206
synl,6.028975278228497,0.1623931623931624,4.1659877099802
synt,4.032884845418256,0.07692307692307693,3.919198010432152
sypr,6.406959715433933,0.19658119658119658,4.5853896471808255
syt,2.022076254679644,0.02564102564102564,2.825265822537094
syx,5.669799300583972,0.15384615384615385,5.315245165660581
syy,2.4244709895025895,0.03418803418803419,2.612408624185807
szc,3.4792952849915446,0.042735042735042736,3.7595638281323813
t,2.7351053862865493,0.0,1.8934183990216222
ta,7.300551932131806,0.19658119658119658,4.935325812712666
tac,5.650171577641892,0.1452991452991453,5.134173485558684
taco,7.037279454319811,0.17094017094017094,6.1548544518937
tact,4.908810533564402,0.10256410256410256,3.719110815145044
taho,8.313742794720172,0.29914529914529914,6.375049940687089
tait,3.430277225364208,0.042735042735042736,2.899538006262472
tal,4.624292642986407,0.06837606837606838,3.0685438748012364
tap,2.064630014678123,0.0,1.3526678652859632
taro,3.5986804926450837,0.008547008547008548,2.429179561627395
tast,3.9557143314036654,0.05128205128205128,2.868952698384263
tat,8.882580882204786,0.3162393162393162,6.832679060814935
tatt,4.173553949166162,0.03418803418803419,2.9805615959005727
tax,4.5549896640889305,0.07692307692307693,3.6272561206803235
tayd,3.8866888076356765,0.03418803418803419,3.5276831848944
tbbk,8.93021520781247,0.358974358974359,6.750395660794645
tbi,6.536331661616125,0.18803418803418803,4.970316525551901
tbk,3.7666417409626844,0.042735042735042736,3.5535286306103067
tbnk,2.3657101415737056,0.0,1.7929764080515271
tbph,9.655926737651567,0.37606837606837606,7.16534252037907
tcap,3.2201395788181792,0.05982905982905983,3.452361595889759
tcbi,3.875463172275974,0.05982905982905983,2.9320953089669093
tcbil,0.5387031819456252,0.0,0.30998775484623087
tcbip,0.8488955735850974,0.0,0.6317858200204843
tcbk,3.0443744118902134,0.017094017094017096,2.2119181935791055
tcca,0.5042218901647889,0.0,0.3114010632629245
tcco,13.513793044937042,0.358974358974359,15.281838492080855
tcf,4.004033929450641,0.05982905982905983,3.0417496652034592
tcfc,2.922420197985549,0.02564102564102564,2.25087551290686
tcf_c,0.7652411579452428,0.0,0.5215527480716134
tci,7.4579201745099635,0.2222222222222222,4.756833362100574
tco,3.5825097240940282,0.017094017094017096,2.3561503162563295
tco_j,0.8551152154264631,0.0,0.495113769298747
tco_k,1.0164745983008736,0.0,0.8760332824629573
tcp,3.645212791310459,0.05128205128205128,2.8676414576815783
tcpc,1.2311064026031797,0.0,0.7753807553734903
tcrd,3.2291554224863885,0.008547008547008548,2.3794361524425645
tcs,8.674116929825134,0.29914529914529914,8.521976450035819
tcx,5.34600980187623,0.10256410256410256,5.196206650347618
td,2.310456746859951,0.02564102564102564,2.2188133732640556
tda,1.253563019858839,0.0,1.283254536814343
tdc,3.4754505359788905,0.017094017094017096,2.3859751004284435
tde,0.8081539978804526,0.0,0.787673238143839
tdf,3.059628734140279,0.05128205128205128,3.1801788142694716
tdg,3.2720910632356603,0.042735042735042736,2.730388788584891
tdi,1.3390725434392043,0.0,1.206307496121644
tdj,0.7091337872712598,0.0,0.5677406477128589
